game_ticker,side,entry_price,entry_game_seconds,entry_period,first_exit_price,first_exit_game_seconds,partial_qty,remainder_qty,final_exit_price,final_exit_game_seconds,exit_type,contracts,gross_pnl,net_pnl,max_adverse_excursion,max_favorable_excursion,hold_time_sec,abs_spread
KXNBAGAME-26APR05ORLNOP,dog,0.2753892714946733,2609.0,4,,,0,100,0.31975791544928744,2626.0,stopped_out_full,100,4.436864395461413,3.696864395461413,0.2753892714946733,0.31975791544928744,17.0,4.5
KXNBAGAME-26APR05ORLNOP,dog,0.3301665719299113,2670.0,4,,,0,100,0.3129423378037989,2677.0,stopped_out_full,100,-1.7224234126112385,-2.4924234126112386,0.3129423378037989,0.3301665719299113,7.0,4.5
KXNBAGAME-26APR05WASBKN,fav,0.3979787481128789,2236.0,4,0.5406603332814203,2296.0,25,75,0.99,2880.0,held_to_win,100,48.60863352074762,48.188633520747615,0.2769298735119047,0.99,644.0,3.5
KXNBAGAME-26APR05WASBKN,dog,0.3997858672376874,0.0,1,,,0,100,0.3185392261270855,394.0,stopped_out_full,100,-8.124664111060184,-8.924664111060185,0.3185392261270855,0.41544264819091603,394.0,3.5
KXNBAGAME-26APR05WASBKN,dog,0.37692012221737226,2335.0,4,,,0,100,0.2988864390886744,2354.0,stopped_out_full,100,-7.803368312869782,-8.593368312869782,0.2988864390886744,0.37692012221737226,19.0,3.5
KXNBAGAME-26APR05WASBKN,dog,0.29642031884404096,2727.0,4,,,0,100,0.26419968234359836,2753.0,stopped_out_full,100,-3.2220636500442623,-3.9420636500442625,0.26419968234359836,0.29642031884404096,26.0,3.5
KXNBAGAME-26APR06DETORL,fav,0.3992946416699907,194.0,1,,,0,100,0.3326964910621394,1176.0,stopped_out_full,100,-6.659815060785128,-7.469815060785128,0.3326964910621394,0.4951157307155575,982.0,2.5
KXNBAGAME-26APR06NYKATL,fav,0.3861710486551828,932.0,2,0.5277094616119782,1064.0,25,75,0.01,2880.0,held_to_loss,100,-25.53436832521882,-25.954368325218823,0.01,0.7813206691851053,1948.0,1.5
KXNBAGAME-26APR06NYKATL,dog,0.39424670433145004,1120.0,2,,,0,100,0.2766783968719453,1690.0,stopped_out_full,100,-11.756830745950474,-12.536830745950473,0.2766783968719453,0.45889692832764495,570.0,1.5
KXNBAGAME-26APR06NYKATL,dog,0.3430896705573039,2366.0,4,,,0,100,0.2435192943770672,2469.0,stopped_out_full,100,-9.95703761802367,-10.68703761802367,0.2435192943770672,0.4211278967021064,103.0,1.5
