stop_loss,sell_pct,trail_dist,entries,mean_pnl,median_pnl,std_pnl,win_rate,annual_ev,sharpe,max_loss,max_win
0.3,0.5,0.15,491,-1.223211148068264,-7.628646355923368,14.592198244783871,35.234215885947044,-1998.3489324977766,-0.08382637951793953,-28.630982531449355,54.686040500411906
0.3,0.5,,368,-1.5738135829781255,-9.991196948420592,18.716878562235184,19.021739130434785,-1927.0345805832526,-0.08408525907485395,-22.217396893609383,54.686040500411906
0.3,0.25,0.05,532,-1.4353520757614946,-7.700542961285129,14.209171864330276,34.962406015037594,-2540.7297579606557,-0.10101588533563334,-28.630982531449355,58.886310552901044
0.3,0.25,0.1,517,-1.1905342832858277,-7.647018788661604,15.50088302839378,35.009671179883945,-2047.957074108281,-0.07680428793024653,-28.630982531449355,58.886310552901044
0.3,0.25,0.15,491,-1.1428331444780804,-7.647018788661604,16.49724509017251,30.75356415478615,-1867.0361187416174,-0.06927418112730056,-28.630982531449355,58.886310552901044
0.3,0.25,,368,-1.4099291405406136,-10.277872481210045,24.761513719393953,18.75,-1726.3685098284925,-0.05694034526800012,-27.871235428984985,58.05750777931742
0.32,1.0,0.05,563,-1.4663777462672374,-6.853156054608768,11.430607074683223,31.616341030195382,-2746.8987785484946,-0.1282852027618905,-28.630982531449355,47.94310594260088
0.32,1.0,0.1,563,-1.4663777462672374,-6.853156054608768,11.430607074683223,31.616341030195382,-2746.8987785484946,-0.1282852027618905,-28.630982531449355,47.94310594260088
0.32,1.0,0.15,563,-1.4663777462672374,-6.853156054608768,11.430607074683223,31.616341030195382,-2746.8987785484946,-0.1282852027618905,-28.630982531449355,47.94310594260088
0.32,1.0,,563,-1.4663777462672374,-6.853156054608768,11.430607074683223,31.616341030195382,-2746.8987785484946,-0.1282852027618905,-28.630982531449355,47.94310594260088
0.32,0.75,0.05,552,-1.3094447873715278,-6.789682334917094,11.59490036324459,32.427536231884055,-2404.9977207476772,-0.11293281928686681,-28.630982531449355,51.3145732215064
0.32,0.75,0.1,536,-1.1403040691084543,-6.6740208948269055,11.914892274248842,32.83582089552239,-2033.639009649274,-0.0957041023000221,-28.630982531449355,51.3145732215064
0.32,0.75,0.15,512,-1.1328520513884581,-6.654956377553784,12.11154401806814,32.8125,-1929.8855601253267,-0.09353489940658735,-28.630982531449355,51.3145732215064
0.32,0.75,,393,-1.2583440124504548,-6.263713146960007,12.893233917446285,25.44529262086514,-1645.4335096622592,-0.09759723747412552,-21.980764049647394,51.3145732215064
0.32,0.5,0.05,552,-1.3138814647874264,-6.801182588783276,12.049307438791866,32.065217391304344,-2413.146364490303,-0.10904207328609451,-28.630982531449355,54.686040500411906
0.32,0.5,0.1,536,-1.0903429984552342,-6.690387055777406,12.852395405588199,32.46268656716418,-1944.5375278632184,-0.08483578072778207,-28.630982531449355,54.686040500411906
0.32,0.5,0.15,512,-1.0967375862216469,-6.6740208948269055,13.377799367802872,32.03125,-1868.362270520426,-0.08198191317334516,-28.630982531449355,54.686040500411906
0.32,0.5,,393,-1.1176887461409692,-8.274752093382798,17.49422607482669,18.3206106870229,-1461.5101260674976,-0.06388900779950861,-21.980764049647394,54.686040500411906
0.32,0.25,0.05,552,-1.318173214667093,-6.81322939117378,12.773956492182743,31.88405797101449,-2421.0288264147466,-0.10319224239363688,-28.630982531449355,58.886310552901044
0.32,0.25,0.1,536,-1.0399528233244022,-6.752584447147468,14.25115580182367,31.902985074626866,-1854.6707733498902,-0.07297322671830751,-28.630982531449355,58.886310552901044
0.32,0.25,0.15,512,-1.060388746054835,-6.801182588783276,15.240492842456442,28.515625,-1806.4397081882512,-0.0695770640107412,-28.630982531449355,58.886310552901044
0.32,0.25,,393,-0.9770080345388626,-8.354015179932023,23.214046301863505,18.06615776081425,-1277.553469745463,-0.04208693399825059,-27.871235428984985,58.05750777931742
0.34,1.0,0.05,597,-1.274121111151702,-5.233532534658359,10.319248213002794,28.14070351758794,-2530.891009353356,-0.1234703424951289,-28.630982531449355,47.94310594260088
0.34,1.0,0.1,597,-1.274121111151702,-5.233532534658359,10.319248213002794,28.14070351758794,-2530.891009353356,-0.1234703424951289,-28.630982531449355,47.94310594260088
0.34,1.0,0.15,597,-1.274121111151702,-5.233532534658359,10.319248213002794,28.14070351758794,-2530.891009353356,-0.1234703424951289,-28.630982531449355,47.94310594260088
